question_topic,question_topic_group
bee,Other
pigeon,Livestock
miraa,Other
boma-rhodes,Other
cat,Other
maize,Crop
tomato,Crop
plant,Crop
bean,Crop
crop,Crop
potato,Crop
banana,Crop
coffee,Crop
onion,Crop
rice,Crop
cabbage,Crop
cotton,Crop
tree,Crop
wheat,Crop
watermelon,Crop
peanut,Crop
vegetable,Crop
kale,Crop
plantain,Crop
passion-fruit,Crop
grass,Crop
cassava,Crop
millet,Crop
tea,Crop
sugar-cane,Crop
sweet-potato,Crop
cereal,Crop
carrot,Crop
napier-grass,Crop
sunflower,Crop
melon,Crop
avocado,Crop
capsicum,Crop
mango,Crop
orange,Crop
soya,Crop
aubergine,Crop
pea,Crop
spinach,Crop
chilli,Crop
olive,Crop
cowpea,Crop
pineapple,Crop
pumpkin,Crop
paw-paw,Crop
mushroom,Crop
tobacco,Crop
ginger,Crop
apple,Crop
cashew-nut,Crop
yam,Crop
garlic,Crop
french-bean,Crop
eucalyptus,Crop
taro,Crop
butternut-squash,Crop
mung-bean,Crop
cocoa,Crop
african-nightshade,Crop
pear,Crop
greens,Crop
pigeon-pea,Crop
sisal,Crop
beetroot,Crop
coconut,Crop
guava,Crop
clover,Crop
lemon,Crop
macademia,Crop
finger-millet,Crop
squash,Crop
pyrethrum,Crop
peach,Crop
snow-pea,Crop
safflower,Crop
parsley,Crop
collard-greens,Crop
jackfruit,Crop
cucumber,Crop
desmodium,Crop
acacia,Crop
strawberry,Crop
bamboo,Crop
okra,Crop
chia,Crop
amaranth,Crop
rapeseed,Crop
lucern,Crop
radish,Crop
nightshade,Crop
cyprus,Crop
barley,Crop
brachiaria-grass,Crop
grape,Crop
flax,Crop
oat,Crop
sesame,Crop
corriander,Crop
black-nightshade,Crop
courgette,Crop
broccoli,Crop
sudan-grass,Crop
lettuce,Crop
gooseberry,Crop
chickpea,Crop
cauliflower,Crop
chard,Crop
leek,Crop
caliandra,Crop
lupin,Crop
snap-pea,Crop
asparagus,Crop
celery,Crop
rye,Crop
castor-bean,Crop
vetch,Crop
leucaena,Crop
apricot,Crop
setaria,Crop
mulberry,Crop
blackberry,Crop
purple-vetch,Crop
cranberry,Crop
locust,Other
dog,Other
fish,fish
tilapia,fish
cattle,Livestock
chicken,Livestock
poultry,Livestock
goat,Livestock
pig,Livestock
animal,Livestock
rabbit,Livestock
livestock,Livestock
sheep,Livestock
duck,Livestock
bird,Livestock
guinea-fowl,Livestock
turkey,Livestock
camel,Livestock
ostrich,Livestock
guinea-pig,Livestock